Transaction ID,First Name,Middle Initial,Last Name,Transaction Date,Owner,Ticker,Asset Name,Company,Description,Rate/Coupon,Maturity Date,Asset Type,Transaction Type,Amount Range,Amount Min,Amount Max,Comment
a8f2a893-ae87-429a-91ba-5bf2166b9ead,Jeanne,,Shaheen,2015-12-01,Spouse,,The Salon LLC,"The Salon LLC  (Dover, NH )",Hair salon,,,Private Stock,Purchase,"$15,001 - $50,000",15001,50000,--
c31906ed-088f-4405-8b25-a197686d32a6,Jeanne,,Shaheen,2018-11-07,Spouse,,Vera Roasting Corporation,"Vera Roasting Corporation  (Dover, NH)",Coffee Company,,,Private Stock,Purchase,"$100,001 - $250,000",100001,250000,--
6c67032c-8faa-482b-a82d-97952c50afea,Jeanne,,Shaheen,2017-03-17,Spouse,,"Diogenes, LLC","Diogenes, LLC  (Manchester, NH)",Owns commercial rental real property (80 Merrimack Street),,,Private Stock,Purchase,"$1,001 - $15,000",1001,15000,--
98f98eb8-6734-4e68-a106-ac1b8abf4505,Ms.,,Smith,2018-03-29,Spouse,CGNT,"Cogentix Medical, Inc.",,,,,Stock,Sale (Partial),"$1,001 - $15,000",1001,15000,--
f685dfe4-10fd-4dad-af44-bf996239e9b7,Ms.,,Smith,2018-08-30,Spouse,PODD,Insulet Corporation,,,,,Stock,Sale (Partial),"$15,001 - $50,000",15001,50000,--
1539d194-8602-44c6-899d-a7f859c14bd0,Ms.,,Smith,2018-08-30,Spouse,CUTR,"Cutera, Inc.",,,,,Stock,Sale (Full),"$100,001 - $250,000",100001,250000,--
1e7a8254-78ae-4427-9db2-40c32e4d69e3,Ms.,,Smith,2018-08-30,Spouse,CUTR,"Cutera, Inc.",,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
ea89dcd1-235f-4477-9c85-a1d4f1a858b3,Ms.,,Smith,2018-08-30,Joint,PODD,Insulet Corporation,,,,,Stock,Sale (Full),"$250,001 - $500,000",250001,500000,--
96623453-38e3-42ab-87f5-7e7a0ec1b5b1,Ms.,,Smith,2018-01-16,Spouse,CUTR,"Cutera, Inc.",,,,,Stock,Sale (Partial),"$250,001 - $500,000",250001,500000,--
591cebbd-9c78-46cc-8c43-575479630690,Ms.,,Smith,2018-01-05,Joint,ENTL,"Entellus Medical, Inc.",,,,,Stock,Sale (Full),"$50,001 - $100,000",50001,100000,--
8338756c-a7f8-4143-b78c-7a19ff8ea0d8,Ms.,,Smith,2021-04-11,Spouse,,Surgical Information Sciences,"Surgical Information Sciences  (Alpharetta, CA)",Health Management Systems,,,Private Stock,Purchase,"$1,001 - $15,000",1001,15000,--
8906fce3-2497-47cb-9ab0-04c650055657,Ms.,,Smith,2018-04-12,Spouse,CGNT,"Cogentix Medical, Inc.",,,,,Stock,Sale (Partial),"$15,001 - $50,000",15001,50000,--
7f1bc41f-1bee-48f7-9ad8-800404dd4ebb,Ms.,,Smith,2018-04-12,Spouse,CGNT,"Cogentix Medical, Inc.",,,,,Stock,Sale (Full),"$100,001 - $250,000",100001,250000,--
538fa7ca-8507-4fac-9fcc-65b3d76208cc,Ms.,,Smith,2018-04-10,Spouse,CGNT,"Cogentix Medical, Inc.",,,,,Stock,Sale (Partial),"$15,001 - $50,000",15001,50000,--
0507d0e8-9265-4de1-8a15-1e54de73b648,Ms.,,Smith,2020-03-17,Spouse,DXCM,"DexCom, Inc.",,,,,Stock,Sale (Partial),"$250,001 - $500,000",250001,500000,--
97190727-ba63-47e6-a9bc-93aef3c16ba1,Ms.,,Smith,2020-03-17,Spouse,PODD,Insulet Corporation,,,,,Stock,Sale (Partial),"$250,001 - $500,000",250001,500000,--
f545c338-e0c3-4dd0-b7b2-127d8383907d,Ms.,,Smith,2018-06-01,Spouse,TCMD,"Tactile Systems Technology, Inc.",,,,,Stock,Sale (Partial),"$100,001 - $250,000",100001,250000,Asset held in Charles Schwab - Rollover IRA
4b4fa476-d919-40dd-8293-2a6fb88a7823,Ms.,,Smith,2018-06-01,Spouse,TCMD,"Tactile Systems Technology, Inc.",,,,,Stock,Sale (Full),"$100,001 - $250,000",100001,250000,Asset held in Truchas Capital 401K Plan
